CMC_id,CMC_rank,name,ticker,web_primary,web_secondary,source_code,check_source,notes,repo,forge,stars,forks,auth_tot,authors,commits,comments,PR_open,days_inactive,avg_resp_time,med_resp_time,avg_longevity_days,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:,alexa_rank,geo_rmse,geo_mae
5728,415,Balancer,BAL,https://balancer.finance/,http://balancer.exchange/,https://github.com/balancer-labs/balancer-core,y,,balancer-labs/balancer-core,github,261,205,11,0,0,0,0,5.136,9.65,9.65,181.15,Solidity,33,23,11,1,0,0,1,0,0,198,0.2109,3769758,0.391630143,0.247467382
2896,416,Hifi Finance,MFT,https://hifi.finance/,,https://github.com/hifi-finance/hifi,y,,hifi-finance/hifi,github,71,6,5,2,6.5,1,1,3.832,14.81,2.78,122,TypeScript,31,0,6,3,2.3,23,5,4,0,2,0.32703,735310,0.25039906,0.148929191
7236,417,Celo Dollar,CUSD,https://celo.org/,https://thecelo.com/,https://github.com/celo-org/celo-blockchain,y,,celo-org/celo-blockchain,github,383,189,131,13.33,193.33,110.33,24,0.075,24.78,5.96,269.21,Go,110,0,708,7,1.5,15,42,32,2.1,0,0.5621,30290,0.265647205,0.174685779
2588,418,Loom Network,LOOM,https://loomx.io/,,https://github.com/loomnetwork/loom-js,y,,loomnetwork/loom-js,github,215,82,60,0,0,0,0,27.888,4.55,1.01,207.45,TypeScript,61,16,24,4,0,24,1,0,1,9,0.33256,338674,0.391630143,0.247467382
3351,419,ZB Token,ZB,https://www.zb.com/,,private,y,,,,,,,,,,,,,,,,,,,,,,,,,,,110498,,
5957,420,DFI.Money,YFII,https://dfi.money/#/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,764609,,
4056,421,Ampleforth,AMPL,https://www.ampleforth.org/,,https://github.com/ampleforth/uFragments,y,,ampleforth/uFragments,github,175,229,16,0,0,0,0,226.084,53.31,64.05,201.84,,,,,,,,,,,,,203337,0.284788549,0.183673629
5007,422,TROY,TROY,https://troytrade.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,596788,,
5338,423,Somnium Space Cubes,CUBE,https://somniumspace.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,77229,,
11367,424,Aurory,AURY,https://aurory.io/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,68336,,
7535,425,Keep3rV1,KP3R,https://keep3r.network/,,https://github.com/keep3r-network/keep3r.network,y,,keep3r-network/keep3r.network,github,410,215,37,0,0,0,0,5.553,0,0,27.41,Solidity,17,12,13,2,0,0,0,0,0,3,0.15965,222377,0.391630143,0.247467382
9421,426,Ampleforth Governance Token,FORTH,https://www.ampleforth.org/,,https://github.com/ampleforth/ampleforth-contracts,y,,ampleforth/ampleforth-contracts,github,64,22,7,3,3,8,2.33,3.64,15.85,9.95,114,TypeScript,56,4,11,3,0.4,3,1,0,0,0,0.23162,203337,0.284788549,0.183673629
3742,427,Chimpion,BNANA,https://www.chimpion.io,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,2066085,,
2776,428,Travala.com,AVA,https://www.travala.com/,https://book.travala.com/,https://github.com/travala/Booking-SC,y,,travala/Booking-SC,github,3,2,1,0,0,0,0,220.843,0,0,0,C#,49,42,2,1,0,0,0,0,0,0,0.06806,64019,0.391630143,0.247467382
7978,429,Bonfida,FIDA,https://bonfida.com,https://solible.com,https://github.com/Bonfida/agnostic-orderbook,y,,Bonfida/agnostic-orderbook,github,35,14,7,4.33,14.67,8.67,3.67,1.115,5.1,0.84,61.12,Rust,18,1,8,2,1.3,0,11,7,0.3,0,0.22667,691873,0.279603594,0.173459201
